date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:28	26899/26899	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20May%202021%2012:26:37%20GMT	https://uicookies.com/demo/theme/instant/index.html	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/index.html	(from )
16:29:29	33/33	---M--	200	added ('OK')	text/plain	etag:%22606db4eb-21%22	https://uicookies.com/robots.txt		(from )
16:29:31	187951/187951	---MCZ	200	added ('OK')	text/css	etag:W/%2260a65582-2de2f%22	https://uicookies.com/demo/theme/instant/assets/css/bootstrap/bootstrap.css	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/css/bootstrap/bootstrap.css	(from https://uicookies.com/demo/theme/instant/index.html)
16:29:33	51284/51284	---MCZ	200	added ('OK')	text/css	etag:W/%2260a65598-c854%22	https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/css/ionicons.min.css	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/ionicons/css/ionicons.min.css	(from https://uicookies.com/demo/theme/instant/index.html)
16:29:33	7781/7781	---MCZ	200	added ('OK')	text/css	etag:W/%2260a6558f-1e65%22	https://uicookies.com/demo/theme/instant/assets/css/magnific-popup.css	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/css/magnific-popup.css	(from https://uicookies.com/demo/theme/instant/index.html)
16:29:33	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2260a65594-7918%22	https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/css/font-awesome.min.css	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/fontawesome/css/font-awesome.min.css	(from https://uicookies.com/demo/theme/instant/index.html)
16:29:35	1920/1920	---MCZ	200	added ('OK')	text/css	etag:W/%2260a6558f-780%22	https://uicookies.com/demo/theme/instant/assets/css/slick.css	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/css/slick.css	(from https://uicookies.com/demo/theme/instant/index.html)
16:29:36	1427265/1427265	---MCZ	200	added ('OK')	text/css	etag:W/%2260a6558e-15c741%22	https://uicookies.com/demo/theme/instant/assets/css/helpers.css	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/css/helpers.css	(from https://uicookies.com/demo/theme/instant/index.html)
16:29:37	46164/46164	---MCZ	200	added ('OK')	text/css	etag:W/%2260a65590-b454%22	https://uicookies.com/demo/theme/instant/assets/css/style.css	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/css/style.css	(from https://uicookies.com/demo/theme/instant/index.html)
16:29:38	2591/2591	---MCZ	200	added ('OK')	text/css	etag:W/%2260a6558f-a1f%22	https://uicookies.com/demo/theme/instant/assets/css/restaurant.css	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/css/restaurant.css	(from https://uicookies.com/demo/theme/instant/index.html)
16:29:39	120724/120724	---M--	200	added ('OK')	application/octet-stream	etag:%2260a65599-1d794%22	https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/fonts/ionicons.eot?v=2.0.0	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/ionicons/fonts/ionicons28b5.eot	(from https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/css/ionicons.min.css)
16:29:40	188508/188508	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2260a6559a-2e05c%22	https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/fonts/ionicons.ttf?v=2.0.0	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/ionicons/fonts/ionicons28b5.ttf	(from https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/css/ionicons.min.css)
16:29:41	120724/120724	URF---	200	added ('OK%20(cached)')	application/eot		https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/fonts/ionicons.eot?v=2.0.0	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/ionicons/fonts/ionicons28b5.eot	(from https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/css/ionicons.min.css)
16:29:42	67904/67904	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2260a6559a-10940%22	https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/fonts/ionicons.woff?v=2.0.0	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/ionicons/fonts/ionicons28b5.woff	(from https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/css/ionicons.min.css)
16:29:42	188508/188508	UR-MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2260a6559a-2e05c%22	https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/fonts/ionicons.ttf?v=2.0.0	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/ionicons/fonts/ionicons28b5.ttf	(from https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/css/ionicons.min.css)
16:29:43	333834/333834	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260a6559a-5180a%22	https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/fonts/ionicons.svg?v=2.0.0	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/ionicons/fonts/ionicons28b5.svg	(from https://uicookies.com/demo/theme/instant/assets/fonts/ionicons/css/ionicons.min.css)
16:29:44	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%2260a65594-2876e%22	https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont.eot?v=4.7.0	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.eot	(from https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/css/font-awesome.min.css)
16:29:45	165742/165742	URF---	200	added ('OK%20(cached)')	application/eot		https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont.eot?v=4.7.0	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.eot	(from https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/css/font-awesome.min.css)
16:29:46	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%2260a65594-2876e%22	https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont.eot?	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfontd41d.eot	(from https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/css/font-awesome.min.css)
16:29:47	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%2260a65596-12d68%22	https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/css/font-awesome.min.css)
16:29:48	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2260a65596-17ee8%22	https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont.woff?v=4.7.0	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.woff	(from https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/css/font-awesome.min.css)
16:29:49	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2260a65595-286ac%22	https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.ttf	(from https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/css/font-awesome.min.css)
16:29:50	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260a65595-6c7db%22	https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont.svg?v=4.7.0	/home/kumartej/websites/food_2/uicookies.com/demo/theme/instant/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.svg	(from https://uicookies.com/demo/theme/instant/assets/fonts/fontawesome/css/font-awesome.min.css)
